04/30/2026,1875.00,*,1234,DIRECT DEPOSIT PAYROLL
04/29/2026,-72.18,*,0,COSTCO WHOLESALE 0421
04/28/2026,-42.30,*,0,CHEVRON 392048
04/27/2026,-9.99,*,0,APPLE.COM/BILL
04/26/2026,-128.55,*,0,SAFEWAY STORE 1842
04/25/2026,250.00,*,0,ZELLE FROM ALICE J
04/24/2026,-65.00,*,0,LA FITNESS MEMBERSHIP
04/23/2026,-1450.00,*,1101,RENT PAYMENT
04/22/2026,-38.42,*,0,UBER EATS
04/21/2026,-11.99,*,0,HULU LLC
04/20/2026,-24.60,*,0,LYFT RIDE 04211
04/19/2026,-89.75,*,0,BEST BUY 00012345
04/18/2026,-15.50,*,0,SUBWAY 24319
04/15/2026,-145.20,*,0,PG&E AUTOPAY
